ID,Restaurant Name,Distinction,TripAdvisor,Google,ta_reviews_start,Processed
1,Alain Ducasse at The Dorchester,3,https://www.tripadvisor.com/Restaurant_Review-g186338-d1205756-Reviews-Alain_Ducasse_at_The_Dorchester-London_England.html,https://www.google.com/search?sxsrf=APwXEddqiYeMgKriIrK5J4hMLJ2Eu5vg8Q:1687887914564&q=Alain+Ducasse+at+The+Dorchester&uds=iwCAEgAD&sa=X&ved=2ahUKEwjjm8W8gOT_AhVnhf0HHWLKDuEQkc0JegQIDBAB&ictx=0&biw=767&bih=736&dpr=1.25#,0,Y
2,The Araki,3,https://www.tripadvisor.com/Restaurant_Review-g186338-d7232958-Reviews-The_Araki-London_England.html,"https://www.google.com/search?q=The+Araki+london&biw=767&bih=736&sxsrf=APwXEdcinqt1OUmVGDBVOyhbghvpfrTOYA%3A1687893685722&ei=tTabZPPaK4iE9u8Ptom36AI&ved=0ahUKEwizibn8leT_AhUIgv0HHbbEDS0Q4dUDCBA&uact=5&oq=The+Araki+london&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzIICAAQgAQQywEyBQgAEIAEMgUIABCABDIFCAAQgAQyBggAEBYQHjIICAAQigUQhgMyCAgAEIoFEIYDOgoIABBHENYEELADOgQIIxAnOgcIABCKBRBDOggIABCKBRCRAkoECEEYAFCHBFj-CWDjC2gBcAF4AIABeYgBogaSAQMwLjeYAQCgAQHAAQHIAQg&sclient=gws-wiz-serp#lrd=0x487604d58592666b:0x747345910d199aad,1,,,,",0,Y
3,Gordon Ramsay,3,"RESTAURANT GORDON RAMSAY, London - Chelsea - Menu, Prices & Restaurant Reviews - Tripadvisor","https://www.google.com/search?q=Restaurant+Gordon+Ramsay+68+Royal+Hospital+Rd%2C+London&client=firefox-b-d&ei=HFWbZKrQNJyJ9u8PjtS0yAY&ved=0ahUKEwiqzt77suT_AhWchP0HHQ4qDWkQ4dUDCA4&uact=5&oq=Restaurant+Gordon+Ramsay+68+Royal+Hospital+Rd%2C+London&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzIHCAAQExCABDIICAAQFhAeEBMyCAgAEBYQHhATMggIABAWEB4QEzoLCC4QgAQQxwEQ0QM6BQgAEIAEOgsILhCABBDHARCvAToGCAAQFhAeOhkILhCABBDHARDRAxCXBRDcBBDeBBDgBBgBSgQIQRgAUABYkgNg3AVoAXABeACAAWaIAcoBkgEDMC4ymAEAoAEBoAECwAEB2gEGCAEQARgU&sclient=gws-wiz-serp#lrd=0x487605f0a8504091:0x95cc2f42ec47f8b4,1,,,,",0,N
4,Fat Duck,3,https://www.tripadvisor.it/Restaurant_Review-g528798-d1571626-Reviews-The_Fat_Duck-Bray_on_Thames_Berkshire_England.html,"https://www.google.com/search?q=Fat+Duck%0D%0A+&client=firefox-b-d&ei=D1WbZI6IB8OMlQeAgq_wBA&ved=0ahUKEwjOy5f1suT_AhVDRuUKHQDBC04Q4dUDCA4&uact=5&oq=Fat+Duck%0D%0A+&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzIfCC4QigUQxwEQ0QMQ6gIQtAIQigMQtwMQ1AMQ5QIYBDIZCAAQigUQ6gIQtAIQigMQtwMQ1AMQ5QIYBDIVCC4QAxCPARDqAhC0AhCMAxDlAhgFMhUIABADEI8BEOoCELQCEIwDEOUCGAUyFQgAEAMQjwEQ6gIQtAIQjAMQ5QIYBTIVCAAQAxCPARDqAhC0AhCMAxDlAhgFMhUIABADEI8BEOoCELQCEIwDEOUCGAUyFQgAEAMQjwEQ6gIQtAIQjAMQ5QIYBTIVCAAQAxCPARDqAhC0AhCMAxDlAhgFMhUIABADEI8BEOoCELQCEIwDEOUCGAU6CggAEEcQ1gQQsAM6CggAEIoFELADEEM6DQgAEOQCENYEELADGAE6FQguEIoFEMcBEK8BEMgDELADEEMYAjoVCC4QrwEQxwEQigUQyAMQsAMQQxgCOgsILhDHARDRAxCABDoHCAAQigUQQzoFCAAQgAQ6CwguEIAEEMcBEK8BOgYIABAWEB46GQguEMcBENEDEIAEEJcFENwEEN4EEOAEGANKBQgpEgExSgQIQRgAUKcJWOkUYIgXaAJwAXgBgAFviAHYAZIBAzAuMpgBAKABAaABArABCsABAcgBE9oBBggBEAEYCdoBBggCEAEYCNoBBggDEAEYFNoBBAgEGAfaAQQIBRgK&sclient=gws-wiz-serp#lrd=0x48767cd3f93bcef7:0x11e55e1d12bfdc4c,1,,,,",60,Y
5,Waterside Inn,3,https://www.tripadvisor.it/Restaurant_Review-g528798-d752171-Reviews-Waterside_Inn-Bray_on_Thames_Berkshire_England.html,"https://www.google.com/search?client=firefox-b-d&q=Waterside+Inn#lrd=0x48767cd3cc79459f:0x3dc901d153480326,1,,,,",0,Y
6,Claude Bosi at Bibendum,2,https://www.tripadvisor.it/Restaurant_Review-g186338-d12706180-Reviews-Claude_Bosi-London_England.html,"https://www.google.com/search?client=firefox-b-d&q=Claude+Bosi+at+Bibendum+#lrd=0x4876056a0d0563af:0x4a0dc8764fc940b1,1,,,,",0,Y
7,Core by Clare Smyth (NEW),2,https://www.tripadvisor.com/Restaurant_Review-g186338-d12801049-Reviews-Core_by_Clare_Smyth-London_England.html,"https://www.google.com/search?q=Core+by+Clare+Smyth+&client=firefox-b-d&ei=HFabZNasOfG69u8P6cCToAo&ved=0ahUKEwjWquz1s-T_AhVxnf0HHWngBKQQ4dUDCA4&uact=5&oq=Core+by+Clare+Smyth+&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzIFCAAQgAQyBQgAEIAEMgUIABCABDIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeOgoIABBHENYEELADSgQIQRgAUK0CWOsDYNILaAFwAXgAgAFfiAG8AZIBATKYAQCgAQHAAQHIAQg&sclient=gws-wiz-serp#lrd=0x48760fe2573c5555:0x3cbcdddab4d1a8cc,1,,,,",0,Y
8,Hélène Darroze at The Connaught,2,https://www.tripadvisor.it/Restaurant_Review-g186338-d1237584-Reviews-Helene_Darroze_at_The_Connaught-London_England.html,"https://www.google.com/search?client=firefox-b-d&q=H%C3%A9l%C3%A8ne+Darroze+at+The+Connaught+#lrd=0x4876052c2daad635:0x49e84b69a8e29d72,1,,,,",0,Y
9,The Ledbury,2,https://www.tripadvisor.it/Restaurant_Review-g186338-d720761-Reviews-The_Ledbury-London_England.html,"https://www.google.com/search?client=firefox-b-d&q=The+Ledbury++#lrd=0x4876101d34506f7b:0x8e76a34fff31a9e4,1,,,,",0,Y
10,Aquavit,1,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d11576237-Reviews-Aquavit_London-London_England.html,"https://www.google.com/search?q=aquavit+restaurant+uk&sxsrf=APwXEdeONlFOaZnV0BN7jsxBmJGyapIRPw%3A1688024073825&ei=CTSdZKWBMqfs7_UPsqS5mAI&ved=0ahUKEwjlqava--f_AhUn9rsIHTJSDiMQ4dUDCBE&uact=5&oq=aquavit+restaurant+uk&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzIFCAAQogQyBQgAEKIEOgoIABBHENYEELADOgoIABCKBRCwAxBDOg0IABDkAhDWBBCwAxgBOg8ILhCKBRDIAxCwAxBDGAI6FQguEIoFEMcBEK8BEMgDELADEEMYAjoFCAAQgAQ6CggAEIAEEBQQhwI6BwgAEIoFEEM6BQghEKABSgQIQRgAUL8DWNsJYM4QaAFwAXgAgAGRAYgB3AKSAQMxLjKYAQCgAQHAAQHIARPaAQYIARABGAnaAQYIAhABGAg&sclient=gws-wiz-serp#lrd=0x487604d15d5ca7fd:0xf2b24bbf25bf8202,1,,,,",0,Y
