	restaurantId	title	ratingDate	reviewerReviews	dateOfVisit	helpful	text	isViaMobile	starsValue	starsService	starsFood	reply	author_name	author_level	author_memberSince	author_city	author_contributions	author_helpful	author_cites	author_photos	author_tag	author_distributionExcellent	author_distributionVeryGood	author_distributionAverage	author_distributionPoor	author_distributionTerrible
0	0	Amazing	Reviewed 2 weeks ago 	--	Date of visit:  June 2023	1	Having dined previously at other 3 and 2 starred restaurants (eg Helene Darozze, Gordan Ramsay, Waterside Inn) my wife and I both agreed that this was the best by far in terms of food and service. Obviously at a price but you know the drill when you book here…	True	--	--	--	Dear Guest, Thank you very much for sharing your kind feedback. I am really glad to read that you have enjoyed your experience with us. I do hope that we will have the chance of welcoming you on a future occasion. Best regards,	gindie	Level  2  Contributor 	Tripadvisor member since 2020	From London, United Kingdom	6 Contributions	1 Helpful vote	1 City visited	--	--	 3	 3	 0	 0	 0
1	0	Unbelievable Experience 	Reviewed 4 weeks ago 	--	Date of visit:  April 2023	0	Absolutely superb! The decor and the food and the service were just Alain Ducasse again, proved his exceptional cuisine, worth a special journey! The waiters were very polite and descriptive in their food presentation. The staff were all smiles and made us feel very special. It was a very special dinning experience in Monaco. 	False	5,0	5,0	4,0	Dear Guest, Thank you very much for kind feedback. Kind regards,	Elena G	Level  1  Contributor 	Tripadvisor member since 2021	--	3 Contributions	1 Helpful vote	1 City visited	--	--	 3	 0	 0	 0	 0
2	0	Return visit… good but lacking full 3 Michelin star finesse	Reviewed 4 weeks ago 	--	Date of visit:  May 2023	0	I’ve always felt that AD@Dorchester has been underrated in London - it’s consistently had 3 Michelin stars for an exceptionally long time and is relatively easy to find a table at. However my most recent visit was ever so slightly disappointing. Objectively, a great dinner - we had the full tasting with the top wine flight pairings - but there were too many imperfections for this to really be 3 Michelin stars. Small things like sloppily placed cutlery, inconsistent table service and long waits for attention - not a huge deal, and certainly first world problems, but all added to a sense that the restaurant was lacking that ultimate polish. Feels more like a place to go for fine dining tourists and instagrammers. Having said that, my wife and I both enjoyed the meal.	True	--	--	--	Dear Guest, Thank you for taking the time to share your feedback following your recent visit to the restaurant. I am sorry to read that your experience was not entirely satisfactory. We would like, if you agree, to get in touch with you by phone so that we can exchange further. Kind regards,	OliwaVasicek	Level  6  Contributor 	Tripadvisor member since 2015	35-49 man from London, United Kingdom	543 Contributions	228 Helpful votes	119 Cities visited	--	Foodie, Nature Lover, Luxury Traveler	 264	 233	 47	 0	 1
3	0	Great dinner and outstanding service	Reviewed May 5, 2023 	--	Date of visit:  April 2023	0	A lovely dinner with the tasting menu and wine pairings. It does last a long time (4 hours) but it was filled with creative food and great service. their communications pre arrival helped with one in our group who had a food allergy. great restaurant 	False	4,0	5,0	5,0	Dear Guest, Thank you very much for taking the time to share your very kind feedback. I am really glad to read that you have enjoyed your experience with us. I do hope that we will have the chance of welcoming you on a future occasion. Best regards, Marion Pepin Restaurant Director Alain Ducasse at The Dorchester	OliwaVasicek	Level  6  Contributor 	Tripadvisor member since 2015	35-49 man from London, United Kingdom	543 Contributions	228 Helpful votes	119 Cities visited	--	Foodie, Nature Lover, Luxury Traveler	 264	 233	 47	 0	 1
4	0	Grandi aspettative, ma esperienza non memorabile	Reviewed May 1, 2023 	--	Date of visit:  April 2023	0	Grandi aspettative ma qualche perplessità. Piatti di grande tecnica ma alcuni di scarsa emozione. Menù degustazione buono con la criticità di una lombatina di vitella (t-bone) non propriamente carne da 3 stelle Michelin e un dessert di sorbetto con un pre-dessert di sorbetto a parer mio è un’indiscutibile errore nella composizione di un menù. Servizio di altissimo livello con esclusione dell’opera sei sommelier per la quale si nota un abbinamento vini da rivedere nella degustazione combinata con inspiegabili abbinamenti fortemente disarmonici. Pinot nero californiano con vitella e barbabietola rossa che portava alla bocca una imbarazzante dolcezza. Pineau d’aunis Patapon rouge su selezione di formaggi tra cui un erborinato e conseguenti sensazioni post-sorso non pervenute . Un ottimo passito bianco di catarratto abbinato al sorbetto all’arancia sanguinella onestamente imbarazzante.	True	--	--	--	Dear Guest, Thank you very much for taking the time to share your feedback. Please note that I have shared the points highlighted to our Executive Chef and Sommelier team. I do hope that we will have the chance of welcoming you on a future occasion. Best regards, Marion Pepin Restaurant Director Alain Ducasse at The Dorchester	AlexFirenze	Level  6  Contributor 	Tripadvisor member since 2008	Man from Scandicci, Italy	105 Contributions	129 Helpful votes	113 Cities visited	8 Photos	--	 20	 31	 24	 18	 11
5	0	IMPRESIONANTE.	Reviewed April 27, 2023 	--	Date of visit:  April 2023	0	No hay palabras....no nesecito decir lo excelente y bueno que es este lugar, mi tercera vez en el y cada vez salgo más impresionada....	True	--	--	--	Dear Guest, Thank you very much for sharing your very kind feedback. I am pleased to read that you have enjoyed your experience with us. I do hope that we will have the chance of welcoming you on a future occasion. Best regards, Marion Pepin Restaurant Director Alain Ducasse at The Dorchester	mariahelena g	Level  5  Contributor 	Tripadvisor member since 2018	35-49 woman from Miami, Florida	66 Contributions	24 Helpful votes	30 Cities visited	--	--	 45	 11	 5	 2	 3
6	0	Klassisches französisches Restaurant	Reviewed April 23, 2023 	--	Date of visit:  April 2023	0	Klassische französische Küche mit einigen innovativen Akzenten. Käsegang erschreckend einfallslos. Wenig Individualität.	False	--	--	--	Dear Guest,Thank you very much for taking the time to share your feedback.I do hope that we will have the chance of welcoming you on a future occasion.Best regards,Marion PepinRestaurant DirectorAlain Ducasse at The Dorchester	gourmetfeinschmecker	Level  6  Contributor 	Tripadvisor member since 2010	50-64 man from Worms, Germany	626 Contributions	805 Helpful votes	600 Cities visited	1 Photo	Art and Architecture Lover, Foodie, Peace and Quiet Seeker, Luxury Traveler	 182	 285	 131	 23	 10
7	0	Where did everyone go?	Reviewed April 15, 2023 	--	Date of visit:  May 2022	1	I took my wife here to celebrate our 46 th Wedding Anniversary while in town for the Chelsea Flower Show. The initial meal and service was as one would expect but then everyone disappeared! we were seated near the street in an area away from the main dining room with two significant pillars blocking the view but with 3 other tables sharing the space. After finishing our mains, we sat for 35 minutes awaiting clearance of dishes and desert menus. We finally succeeded in signaling for the bill. While I can appreciate that some restaurants struggle with staffing, this clearly was not the issue here. There was plenty of staff but the pillars block their view of these tables and as the restaurant was nearly full their attention drifted away from us. A sad and disappointing end to what started out well but petered out dismally. What a shame.	False	3,0	2,0	4,0	--	robertdA9158TS	Level  3  Contributor 	Tripadvisor member since 2015	From Edwards, Colorado	14 Contributions	8 Helpful votes	8 Cities visited	--	--	 9	 3	 1	 2	 1
8	0	Truly exceptional ♥️	Reviewed February 6, 2023 	--	Date of visit:  February 2023	1	Quality and service which you would expect at a three Michelin star restaurant. A wonderful culinary journey from start to end - dishes served at the start had clean and refreshing flavours, followed on with bold, meaty flavours. Ended with cheese course and a beautiful sorbet dessert. At the end of the service, my partner was given a chocolate gift, very thoughtful! It was the perfect place to celebrate a special birthday. 	True	--	--	--	Dear Guest, Thank you very much for sharing your very kind feedback. I am really glad to read that you have enjoyed your experience with us. I do hope that we will have the chance of welcoming you on a future occasion. Best regards, Marion Pépin Restaurant Director Alain Ducasse at The Dorchester	David	Level  3  Contributor 	Tripadvisor member since 2020	From Glasgow, United Kingdom	8 Contributions	23 Helpful votes	4 Cities visited	--	--	 7	 0	 0	 0	 1
9	0	Poor service	Reviewed February 3, 2023 	--	Date of visit:  January 2023	2	I visited Alain Ducasse at The Dorchester for my birthday with my wife. We had the tasting menu and the food was exquisite apart for the fish that wasn't anything special nor tasty. We very much enjoyed the medallion lobster, the scallop and the he venison.  The service however was a big let down for a 3-stars Michelin restaurant. We had a glass of champagne when we sat and the sommelier put maybe 50ml in my wife's glass while my glass was filled normally. I never saw that in any restaurant in the world, regardless of their price or how many Michelin stars they have. That was a bad way to start the diner and spoiled a bit the good feel factor of the arrival. The total bill for 2 tasting menus, 2 glasses of champagne at the beginning and half-bottle champagne during the diner was £561.  When we left and got our jackets, I noticed my Louis Vuitton pin wasn't on my jacket anymore. I told the staff and they started looking on the floor for it. I ended up finding it after a while, but not the whole pin, the back was still missing. That was rather annoying to see. I was told they are going to keep looking for it and that I would be contacted. I wasn't and after some days I got in touch with them. At first they were dismissive and when I told them I'm not happy with the way they're treating this a manager then called me. They told me they're still looking for the back part but I'm not expecting it to find it.  To spend above £500 on a diner and then to be disrespected I find unpardonable. I'm not going back there again.	False	2,0	1,0	5,0	--	Georgian M.	Level  6  Contributor 	Tripadvisor member since 2012	25-34 man from London, United Kingdom	112 Contributions	116 Helpful votes	170 Cities visited	5 Photos	Art and Architecture Lover, Urban Explorer, Shopping Fanatic	 42	 23	 14	 10	 23
