	restaurantId	title	ratingDate	reviewerReviews	dateOfVisit	helpful	text	isViaMobile	starsValue	starsService	starsFood	reply	page	author_name	author_level	author_memberSince	author_city	author_contributions	author_helpful	author_cites	author_photos	author_tag	author_distributionExcellent	author_distributionVeryGood	author_distributionAverage	author_distributionPoor	author_distributionTerrible
0	0	Good start, tapered off a bit	Recensito ieri 	4	Data della visita:  luglio 2023	0	Everything started off pretty interesting, great palate cleansers and starters. Our first 'proper' starter was ok, more interesting than delicious, kind of bitter, but ok. A few great courses after that, then a very disappointing main course. Apart from some greens and some grains, it was basically just beef and a VERY stingy amount of sauce. There was a big spiel about it, but it didn't feel any more special than a main course I'd had at a 1 star, just less sauce, and served almost room temp. The desserts weren't bad, but for the climatic end to a very expensive 3 star meal, strawberries and cream felt a bit normal. And as far as the flavours and textures, not mind blowing. Definitely some impressive techniques, but as a whole it didn't eat much different to desserts I had made at home myself. Overall it was a cool experience, but this was our first time at anything above a 1 star restaurant, and it didn't blow us away like we hoped it would.	False	4,0	4,0	4,0	--	1	Whateves	Recensore livello  2  	Utente di Tripadvisor da ago 2018	--	4 contributi	--	--	--	--	 1	 1	 1	 1	 0
1	0	Wow! Wow! Wow!	Recensito 1 settimana fa 	12	Data della visita:  luglio 2023	0	Words will never ever be sufficient to share the depth of this experience. The staff, the greeting and each course, the night was seamless and sped past but the memories of the sheer genius of Heston will live on for a very long time. Three couples traveled from Sydney and based a holiday around this visit, so much anticipation was indeed given. Not once dis we doubt that this was an experience, indeed a Sensorium of adventure, fun & discovery. Thank you so very much team #FatDuck	True	--	--	--	--	1	Andrew C	Recensore livello  3  	Utente di Tripadvisor da ago 2017	--	10 contributi	4 voti utili	8 città visitate	2 foto	--	 10	 1	 0	 0	 0
2	0	Wow - A Food Theatre 	Recensito 1 settimana fa 	116	Data della visita:  luglio 2023	0	We went for sensorium for our wedding anniversary as a very, very special treat. Yes it's expensive, yes I would pay and go again without hesitation. There are blank walls, no music to interfere with the experience. Everything is controlled for pleasure. When we went to the toilet our serviettes were refolded and placed tidily. My wife sneezed and a waitress came with a box of tissues. You must have seen Heston on TV, the food is exactly what you would expect, top quality and amazing experience. The Full environment is controlled with color changing.l lights above your head to control the ambience. This is astounding. Thank you to the 15 story tellers delivering food and the 43 chefs spread across Bray 	True	--	--	--	--	1	andykitch	Recensore livello  6  	Utente di Tripadvisor da ago 2013	Uomo da Selby, Regno Unito	108 contributi	45 voti utili	68 città visitate	15 foto	Amante della natura, Ecoturista, Viaggiatore di lusso	 64	 19	 7	 6	 13
3	0	Mind blowing!	Recensito 1 settimana fa 	3	Data della visita:  giugno 2023	0	Mind blowing experience, everyone should go at least one in their lifetime! Had the most amazing time and the food was second to none. Our storyteller Josh was super helpful and friendly as were all the staff	False	5,0	5,0	5,0	--	1	Sunshine2904050607	Recensore livello  1  	Utente di Tripadvisor da ago 2019	--	3 contributi	--	--	--	--	 2	 0	 0	 0	 1
4	0	Sensory deliciousness!	Recensito 1 settimana fa 	264	Data della visita:  febbraio 2023	0	This was our first date night after we had a baby and it was so special!  The staff made us feel welcome and explained everything in a thorough way so we could truly enjoy the experience.  My mind was going in circles, taking in the sensory delicacies. I was intrigued by each dish and was surprised and delighted by everything throughout the dinner.  Thank you so much for such a pleasurable gastronomical experience! 10/5	True	--	--	--	--	1	Sugarfree_candy	Recensore livello  6  	Utente di Tripadvisor da ago 2013	25-34 donna da Londra, Regno Unito	247 contributi	193 voti utili	140 città visitate	259 foto	--	 64	 92	 46	 28	 18
5	0	Nothing short of spectacular!	Recensito 2 settimane fa 	10	Data della visita:  giugno 2023	0	What can we say, our visit to The Fat Duck was nothing less than spectacular! It has been around 15 years since we last visited this amazing restaurant. However our dining experience this time was again was second to none. Tom and his staff made us feel that the dishes that we were being presented were the first time they had ever been described to the diner. The enthusiasm and passion that went into the presentation of the quite beautiful dishes certainly showed how proud the team were of their hard work. The whole evening was flawless; so to say it was a “well-oiled machine” really doesn’t do the restaurant justice. However one thing I won’t do in this review is to describe each of the dishes or even say how many courses there were as this will spoil the surprise for anyone who has booked, but not yet had the pleasure of The Fat Duck experience! We also enjoyed a couple of unexpected extras, but again I won't give the details and spoil someone else's fun!   We have recently dined at another 3* restaurant, however The Fat Duck just does something that I don’t believe you can experience in any other restaurant. Is it expensive; Yes!, Is it worth it; Most definitely Yes!   We will certainly be retuning and it will not be another 15 years before we do so!	False	--	--	--	--	1	Scoots01	Recensore livello  3  	Utente di Tripadvisor da ago 2008	35-49 donna da Manchester, Regno Unito	10 contributi	23 voti utili	25 città visitate	--	--	 5	 1	 1	 1	 2
6	0	Mind Boggling	Recensito 2 settimane fa 	43	Data della visita:  giugno 2023	0	Absolutely sensational.!!! Apprehensive about going as I didn’t want to find too much out before hand. But rest assured that if you’re in the same situation as I was it was one of the best experiences I’ve ever had.  Knocked on the road side front door and invited in and shown to our table. The staff ALL attentive, welcoming and could not do enough to make sure the comfort of the visit.  Now for the food…  Every one of the 11/12 courses are perfectly done. Wide range of textures, tastes and feelings eating them cooked and presented perfectly. Lobster, beef, vegetables, herbs and cheese no fault!! ( don’t want to go into too much details as not to spoil it for others ) all from humble ingredients nothing OTT and just making it taste amazing!  Wouldn’t ever hesitate to tell anyone thinking of going TO GO!!!! I’ve seen reviews saying it’s more about the experience over the food but for me/us the experience AND food was just about perfect. Will most definitely be back!  Thanks to the whole of the fat duck team for a great Saturday lunch!!	True	--	--	--	--	1	RLxPLxCL	Recensore livello  4  	Utente di Tripadvisor da ago 2019	Da Swindon, Regno Unito	41 contributi	42 voti utili	17 città visitate	--	--	 24	 12	 2	 3	 0
7	0	A great service that is curing a kitchen of the past!	Recensito 3 settimane fa 	5	Data della visita:  giugno 2023	1	Incredible hospitality, it is all floor, the dining room is the heart of this place. Amazing service. 4 out of 9 dishes were outstanding. Not good value for money, the “former” chef has to come back in the kitchen as squeeze his creativity to be back again.	True	--	--	--	--	1	MattiaTabac	Recensore livello  2  	Utente di Tripadvisor da ago 2013	--	5 contributi	5 voti utili	2 città visitate	--	--	 1	 3	 0	 0	 1
8	0	What a great restaurant	Recensito 3 settimane fa 	6	Data della visita:  aprile 2023	0	Booked early so the place was quite to begin with. As it filled up the atmosphere improved. All the staff were excellent and friendly.great food , atmosphere and service. The food was really good, everything we had was delicious and was really well presented. I would recommend this place for a special occasion and would go	True	--	--	--	--	1	mark	Recensore livello  2  	Utente di Tripadvisor da ago 2023	Da Galles, Regno Unito	6 contributi	3 voti utili	4 città visitate	--	--	 6	 0	 0	 0	 0
9	0	The fat duck - von wegen fett!!!	Recensito 4 settimane fa 	474	Data della visita:  settembre 2022	0	Nun ich habe ich es doch nach Bray im Bezirk Windsor in der Nähe von London ins Heston Blumenthal`s “The Fat Duck” geschafft. Über Jahre sprachen wir dort über das beste Restaurant Großbritanniens und über mehrere Jahre konnte man sich auch in der San Pellegrino Liste Podiumsplätze sichern. Aktuell wird im Restaurant das 25 jährige Jubiläum gefeiert und von daher werden in gewissen Monatsabständen Menüs serviert, welche die besten Gänge des Restaurants der vergangene Jahre beinhalten sollen. Aktuell wird das 5. Chapter in der Küche zubereitet.  Das Restaurant ist von aussen recht unscheinbar und erinnert eher an eine Dorfkneipe, als an ein 3 Sterne Haus in der Nähe von London. Auch von innen kann man keinen Style oder Schick erkennen. Es gibt tiefe Decken und viel Holz, was es zumindest etwas gemütlich macht. Ein Blick in die Weinliste offenbart sofort, dass man sich nicht in einer Dorfkneipe befindet, sondern man könnte annehmen in einem Rooftop Restaurant mit 3 Sternen in Tokio oder Paris zu sein. Der Faktor ist teilweise mit 6 mal so viel wie der ursprüngliche Einkaufspreis gewählt, was selbst in dieser Kategorie als Abzocke bezeichnet werden kann. Ich entscheide mich für einen Complantée Extra Brut Champagner aus dem Hause Pascal Agrapart. Die Assemblage weißt 5 Gramm Dosage auf und ist für meinen Geschmack einen Tick zu süß als Menübegleitung, aber sei’s drum. Ein Blick in die Menükarte offenbart 12 Gänge zu 275 Pfund, was umgerechnet etwa 315 Euro sind. Für den aufgerufenen Preis sollte zumindest einiges an Produkten verbaut sein, was diesen Preis rechtfertigt. Jetzt lehne ich mich aber zuerst einmal zurück und erwarte die ersten Grüße aus der Küche. Bei der Erwartungshaltung soll es allerdings bleiben, denn ohne Umschweife startet man ins Menü mit einem geeisten Nitro Aperitif. Dazu wird ein Schaum von Gin&Tonic in Stickstoff verfestigt, den man anschließend in one bite verspeisen darf. Das ist sicherlich sehr innovativ und auch ein netter Starter als Aperitif, aber als einen „Gang“ sollte man diesen Bite nicht bezeichnen. Es geht weiter mit der Roten Beete mit Rettichfüllung. Hierzu wird eine kleine Kugel, welche tatsächlich noch kleiner als ein Macarons ist, serviert. Auch hier ist der Bite gut gemacht, aber auf Grund seiner Größe, oder besser nicht vorhandenen Größe, viel zu schnell aus dem Mund verschwunden und kann somit getrost auch nicht als Gang bezeichnet werden.  Es geht weiter mit den „Tonic of Botanicals“, einem Gurkenwasser. Dieser „Gang“ ist der erste des Abends, welcher in Größe halbwegs an einen normalen Teller heran kommt. Halbwegs deshalb, weil er in jedem anderen Sterne-Restaurant als Amuse Bouche serviert werden würde. Der Gang ist schön angerichtet und transportiert viel Frische zum Gaumen, welcher hierzu gut vorbereitet wird auf das nun endlich startende „richtige“ Menü.  Pustekuchen; zuerst wird Brioche mit aufgeschlagener Butter und einer Marmelade auf Tomaten-Kaffee Basis serviert. Ohne Zweifel ist das lecker; hat aber nichts mit Fine Dining oder einem 3 Sterne Haus zu tun. Mein Bäcker um die Ecke bekommt dies genau so gut hin und so bin ich langsam etwas ratlos.  Meine Ratlosigkeit soll sich auch im nächsten Gang fortsetzen, denn nun wird das „Breakfast in a Bowl“ serviert. Bei der Bowl handelt es sich eher um ein kleines Schälchen, in dem eine weiße Creme mit ein paar Splittern Trüffel in homöopathischer Dosis liegt. Dazu gibt es kleine Schachteln, wie man sie als Kind kannte, in denen Cornflakes serviert wurden. In der fetten Ente sind ebenfalls kleine Cerealien enthalten, welche nach Schinken und Salz schmecken. Auch hier ist das Schälchen sicherlich sehr innovativ und eine schöne Spielerei, aber eher ein kleiner Gruß, als ein richtiger Gang in einem 3 Sterne Haus.  So langsam bin ich wirklich hungrig, aber die Küche hört das Knurren meines Magens nicht und schickt stattdessen ein Glas in Espresso-Tassen Größe, in dem sich ein chemisches Gemisch von Earl Grey befindet, so dass man kalten und heißen Tee miteinander vermischt hat. Auch hier verhält es sich wie bei den vorherigen Tellern. Der Shot ist spannend zu kosten, aber eine besondere wohlschmeckende Erfahrung ist er nicht.  Es geht weiter in Gang 6 mit einem kleinen Lolly auf Basis einer Hähnchenleber, welche mit Haselnüssen verfeinert wurde und am Stiel zum Gast kommt. Es ist der erste Bite, der wirklich Spass macht, aber der Spaß ist nach zwei Bissen auch wieder vorbei, denn die Größe des Lolly’s hat auch wieder den Charakters eines Grußes aus der Küche.  Ein kurzes Resümee nach bislang sechs verkosteten Gängen; in jedem anderen 3 Sterne Haus wären diese 6 Gänge am Anfang des Abends auf den Tisch als Grüße aus der Küche gestellt worden. Etwas richtiges zu Essen gab es, mit Ausnahme des Brioche bislang noch nicht. Im nächsten Gang wird es skurril. Es wird eine Muschel gebracht, in welcher sich ein MP3 Player und Kopfhörer befindet, welche man aufziehen soll. Nun kann man Wasser plätschern und Möwen kreischen hören und bekommt dazu den „Sound of the Sea“ zu hören. Das Gericht wurde 2007 kreiert und der MP3 Player und die Kopfhörer sind sicher aus dem gleichen Jahr. Es ist der erste Teller, der nach etwas aussieht, was man mehr als dreimal kauen kann. Es befindet sich ein Schaum von Austern auf dem Teller, welchen man mit einem gepressten Staub von Tapioka vermischt und dieser schmeckt nicht nur spannend, sondern auch köstlich. Dazu gibt es jeweils drei kleine dünn aufgeschnittene Stückchen vom Oktopus, King Fish und Makrele. Der nächste Gang besteht aus einer Scheibe Brot mit Butter. Hört sich zwar langweilig an, aber immerhin gibt es eine Sättigungsbeilage, die den ersten Hunger stillt. Auch an den Nachbartischen kann ich ähnliches beobachten und so bestellen manche Tische 3 oder 4 Scheiben des Brots nach, um nicht vom Fleisch zu fallen. Wie schnell doch die Zeit vergeht, denn in Gang 8, dem zweitletzten Gang bevor es zum Dessert geht, gib es einen in Lakritz pochierten Lachs. Das Stück Lachs in der Größe von zwei aufeinander liegenden Streichholzschachteln wird ummantelt von Lakritz, welche den süßlichen Geschmack nur sehr zurückhaltend transportiert und so für den ungeübten Gaumen „runder“ machen soll. On top befinden sich ein paar Forellenroggen und als side gibt es zwei kleine Stückchen gegrillter Artischocke mit einer köstlichen Vanille-Mayonnaise.  Nun zum Hauptgang. Es gibt ein Stück Rehrücken, welches perfekt rosa gebraten wurde, aber leider fast kalt auf meinem Teller landet. Apropos Teller. Es werden fast ausschließlich Teller von Raynaud verwendet, welche ich auf Grund des Designs sehr schätze. Allerdings sind die Teller schon einige Jahre im Einsatz und das sieht man ihnen mehr als an. Jeder Teller weißt deutliche Gebrauchsspuren von Messer und Gabel auf und daher sollten diese dringend ausgetauscht werden. Zurück zum Rehrücken; dieser wird von einem Klecks Sellerie-Püree, kleinen säuerlichen Perlzwiebeln und einem Selleriesalat begleitet. Der Gewinner des Tellers ist zweifelsohne der Sellerie-Salat, denn dieser wurde kräftig mit Senf abgeschmeckt und wird zusätzlich mit kleinen Senfkörnern verfeinert. Das soll’s dann auch gewesen sein mit den „herzhaften“ Gängen und das Dessert wird eingeläutet. Hierzu startet die Patisserie mit einer Taffety Tarte, welche ursprünglich aus dem 17. Jahrhundert stammt. Die Ware besteht hauptsächlich aus Apfel, Salzkaramell, Blätterteig und einer leichten Creme auf Joghurtbasis. Ein wirklich köstliches Dessert, was schon sehr lange auf der Menükarte in der fetten Ente steht und an diesem Abend von Francesco Genovese perfekt umgesetzt wurde. Als zweites Dessert, wenn man es so nennen möchte, gibt es Weingummis aus Whisky-Basis von fünf verschiedenen Whisky Sorten. Das ist gut gemacht und fängt den Geschmack der einzelnen Whiskys hervorragend ein, hat aber im Großen und Ganzen nichts mit einem Dessert in einem 3 Sterne Haus zu tun. Zum Abschluss gibt es noch ein paar Petit Fours aus dem Sweet Candy Shop, für den ein kleines Puppenhaus angefertigt wurde und in dem sich die Petit Fours verbergen. Abschließend betrachtet ein Abend mit ganz viel Schatten und wenig Licht. Der Service rund um den sympathischen Restaurantleiter benötigt zwar etwas Zeit um aufzutauen, aber nach ca einer Stunde ist das Eis gebrochen und man kann sich locker und entspannt mit der Service Crew unterhalten. Auch macht das Küchenteam beim späteren Plausch einen entspannten und sympathischen Eindruck. Das kann aber leider nicht über das Hinwegtäuschen, was an solch einem Abend das Wichtigste ist. Die Weinkarte ist maßlos überteuert und unverschämt bepreist. Was das Essen anbelangt, hat man mit „Sound of the Sea“, dem Lachs, dem Hirsch und der Tarte gerade mal 4 „richtige“ Gänge vor sich stehen gehabt. Alles andere waren Portionen in Amuse Bouche Größe. Des Weiteren werden keine hochwertigen Produkte verwendet, was in Anbetracht des ausgerufenen Menüpreises auch sehr schade ist. Ich würde mir für die Zukunft weniger Show und mehr auf dem Teller wünschen, denn die fette Ente war alles andere als fett. Wenn ich Brot essen muss, um satt zu werden, gehe ich zum Bäcker und in kein 3 Sterne Haus.	False	1,0	5,0	2,0	--	1	MrWust	Recensore livello  6  	Utente di Tripadvisor da ago 2016	35-49 uomo da Saarbrücken, Germania	412 contributi	941 voti utili	129 città visitate	1.506 foto	Buongustaio, Viaggiatore di lusso, Alla moda	 213	 64	 63	 44	 23
